,abbr,word
0,neg,negeri
1,boj,bojong
2,yaya,yayasan
3,atohar,atohariyah
4,bang,bangkala
5,asri,asri
6,mar,maremi
7,tabl,tabloid
8,pela,pelajar
9,cak,cakung
10,prin,princess
11,minhajutt,minhajutthollab
12,daruss,darussalam
13,bint,bintang
14,kah,kaharu
15,cau,causal
16,terr,terrace
17,jep,jepara
18,senn,sennaart
19,indomaret.,indomaret
20,hin,hinkan
21,kenc,kencana
22,dah,dahrum
23,caval,cavallino
24,pizz,pizzahut
25,grey,grey101
26,mangla,manglayang
27,beng,bengkel
28,ber,berkah
29,bust,bustanul
30,kupang,kup
31,krajan,kra
32,cilincing,cilin
33,mand,man
34,prim,primary
35,kuli,kuliner
36,nusan,nusantara
37,tapa,tapanuli
38,sela,selatan
39,pemban,pembangunan
40,electr,electronic
41,laun,laundry
42,mer,mertha
43,maron(lapangan,maron
44,bout,boutique
45,pasi,pasilian
46,kerto,kertosono
47,stati,statistik
48,kan,kantor
49,pang,panglima
50,bat,batunu
51,par,parfum
52,halim,halimiyah
53,sh.,sh.mkn
54,spesia,spesialist
55,beringin,beri
56,lome,lomenik
57,pahl,pahlawan
58,ged,gedung
59,bersau,bersaudara
60,gor,gordyn
61,suda,sudarso
62,war,warung
63,waro,waroeng
64,mamp,mampang
65,elektr,elektronik
66,tambal,taman
67,cemp,cempaka
68,semb,sembako
69,parangt,parangtritis
70,ria,riamah
71,terp,terpadu
72,asa,asabri
73,t-sh,t-shirt
74,bea,beauty
75,tower.,tower
76,vari,variasi
77,indocar,indocarpenter
78,mekar,mekarsari
79,modi,modified
80,makh,makhasi
81,konsu,konsultan
82,sast,sastran
83,serv,service
84,village.,village
85,pab,pabrik
86,cipaku,cip
87,pulori,puloriburit
88,pena,penajam
89,lup,lupita
90,kar,karang
91,komp,komplek
92,mush,musholla
93,cosmat,cosmaterial
94,lom,lombok
95,kor,korpri
96,lor,lorong
97,petamburan,pet
98,chat,chatime
99,maka,makassar
100,lis,lisswa
101,prat,pratama
102,kart,kartika
103,cho,choice
104,batu,baturiti
105,hara,harapan
106,jan,jantho
107,souv,souvenir
108,suko,sukolilo
109,subr,subroto
110,pale,paledang
111,coun,counter
112,kalija,kalijati-p
113,appa,apparel
114,tinggi.,tinggi
115,chem,chemical
116,kebonsari,kebon
117,mongin,monginsidi
118,serdang,serd
119,waturen,waturenggong
120,cellaedesa,cellae
121,selapa),selapa
122,wahi,wahidin
123,ren,rental
124,kam,kampus
125,wad,wadung
126,game,gamelan
127,pancoran,panc
128,toi,toilet
129,cof,coffee
130,fash,fashion
131,bag,baglog
132,sol,solusi
133,alfa,alfamrt
134,sate),sate
135,ciki,cikiwul
136,banjarn,banjarnegara
137,pur,purnaw
138,tek,teknik
139,pla,plaza
140,pertan,pertanahan
141,jayawi,jayawijaya
142,suci,sucipto
143,macc,maccini
144,kutisari,kuti
145,the,thermo
146,ubu,ubung-
147,pon,ponsel
148,kur,kursus
149,kesaya,kesayangan
150,colu,columbus
151,bule,bulevar
152,baro,barokah
153,kludan),kludan
154,miea,mieayam
155,kra,kramat
156,kolo,kolonel
157,gus,gustin
158,lin,lintas
159,soka,sokaraja
160,pondok,pon
161,pancar,pancaripta
162,tak,taklim
163,kori,korindo
164,mangga,man
165,khu,khusus
166,nur,nurika
167,indon,indonesia
168,kel,kelapa
169,tent,tentara
170,mah,mahrah
171,kali,kalianak
172,yuni,yuniarti
173,cell,cellular
174,raya,raya
175,baitul,baitulrido
176,mansion.,mansion
177,thamrin.,thamrin
178,jatijajar,jatij
179,tal,talang
180,cikaja,cikajang-c
181,106,106143
182,sto,stonen
183,pasirj,pasirjambu
184,inter,interalia
185,rank,rankoto
186,kut,kuta-a
187,band,bandung
188,pasirk,pasirkiamis
189,penyul,penyuluhan
190,lamo,lamongan
191,pan,pangan
192,prabumu,prabumulih-b
193,mad,madura
194,kerli,kerlipan.
195,dyna,dynamic
196,lang,langsep
197,insti,institute
198,collec,collection
199,dag,daging
200,pudd,pudding
201,rubi,rubiyati
202,perk,perkasa
203,panc,pancong
204,purwoyoso,purwo
205,maje,majeluk
206,arra,arrahman
207,simomulyo,simo
208,gay,gayung
209,sam,sambal
210,tan,tangga
211,valen,valentcia
212,clot,clothes
213,gading,gad
214,indom,indomaret
215,peri,perintis
216,sum,sumber
217,ter,teruna
218,ban,bangka
219,nug,nugaya
220,suryaa,suryaatmaja
221,rak,rakyat
222,prib,pribumi
223,pol,polisi
224,batursari,batur
225,pro,prokla
226,alams,alamsyah.
227,sar,sarana
228,kary,karyawan
229,novo,novotel
230,(kop,(kopkar
231,jelambar,jela
232,baru,barat
233,pesan,pesantren
234,penga,pengantin
235,mas,masjid
236,darmaw,darmawangsa
237,alf,alfuza
238,pala,palangk
239,jun,junior
240,komu,komunika
241,bar,barber
242,inp,inpres
243,cempaka,cemp
244,jem,jembar
245,(hara,(harapan)
246,crys,crystal
247,baratpenjaringanjkt,barat
248,mahakam,maha
249,sant,santoso
250,parf,parfums
251,kemerd,kemerdekaan
252,viek,vieklin
253,por,portal
254,wis,wisata
255,vete,veteran
256,mangunk,mangunkusumo
257,nyitz,nyitzfood
258,sulaima,sulaimaniyah
259,roh,rohmah
260,ger,gereja
261,cen,center
262,pis,pisang
263,anbe,anbenov
264,zahr,zahronet
265,pram,pramita
266,nuruss,nurussalam
267,kuc,kucing
268,mage,magetan
269,gep,geprek
270,sul,sulung
271,got,gotong
272,toy,toyota
273,indra,indramayu
274,warm,warmindo
275,ngadiluwih.,ngadiluwih
276,arm,armada
277,keda,kedaung
278,rant,rantang
279,lest,lestari
280,muly,mulyadi
281,kamp,kampung
282,airla,airlangga
283,perum,perumahan
284,dev,devana
285,sugi,sugiman
286,catterp,catterpilars
287,montes,montessori
288,darm,darminto
289,pass,passion
290,srir,sriratu
291,dewa,dewaruci
292,pangk,pangkalan
293,al-hid,al-hidayah
294,far,farhan
295,logi,logistic
296,bek,bekasi
297,fort,fortuna
298,rah,rahmat
299,kall,kallista
300,pri,prigen
301,fatahi,fatahillah
302,mak,makmur
303,rasmiy,rasmiyatun
304,kope,koperasi
305,ngagelrejo,nga
306,ali,alisha
307,tit,titiek
308,pendid,pendidikan
309,weed,weeding
310,bor,border
311,foto,fotocopy
312,anug,anugrah
313,gabug,gabugagan
314,hea,heaven
315,skateb,skateboard
316,sio,siomay
317,pay,payung
318,kem,kemand
319,jemb,jembatan
320,cibi,cibinong
321,keso,kesohor
322,adyaw,adyawinsa
323,seki,sekisui
324,swa,swasta
325,dha,dharma
326,besi,besitang
327,tila,tilawati
328,sur,surian
329,belu,belukar
330,keb,kebaya
331,soek,soekarno
332,lemb,lembang
333,sumb,sumbawa
334,gar,garden
335,sudi,sudirman
336,cah,cahaya
337,pad,padang
338,hali,halijah
339,kebuda,kebudayaan
340,pariwi,pariwisata
341,nikko,nikkotama
342,jon,jonash
343,sisin,sisingama
344,san,santan
345,pajaj,pajajaran
346,clea,cleaning
347,pel,pelita
348,mus,mustar
349,perta,pertamina
350,sunter,sun
351,stad,stadion
352,bangkala,bank
353,pers,persada
354,vill,village
355,pera,perancis
356,tarbiy,tarbiyatul
357,rem,rempah
358,bojong,boj
359,swi,swikee
360,tra,travel
361,min,mingga
362,muti,mutiara
363,pau,paulus
364,simadibrata,simadibrata
365,rum,rumdin
366,kaw,kawani
367,mitra,mitrasana
368,mark,markipat
369,al-ma,al-mansur
370,angg,anggrek
371,pen,penjar
372,farm,farming
373,hasan,hasanudin
374,cipageran,cipag
375,simp,simpang
376,rambu,rambu
377,g-t,g-tekt
378,ten,tengah
379,kand,kandang
380,az-z,az-zahra
381,meruya,mer
382,selatan,sela
383,garu,garutama
384,kanginan.delod,kanginan
385,pund,pundimas
386,rorome,roromendut
387,stoc,stockist
388,gd2,gd2205
389,bandrek.rt,bandrek
390,ghon,ghoniyah
391,khar,kharisma
392,gemi,gemilang
393,crea,creative
394,squ,square
395,lan,lantai
396,spi,spirit
397,iska,iskandar
398,tam,tamini
399,panjang,panj
400,kre,kresna
401,ciu,ciungw
402,mal,malang
403,sil,silver
404,tang,tangkil
405,fact,factory
406,wib,wibowo
407,str,street
408,isman.,isman
409,nge,ngepeh
410,furni,furniture
411,jatine,jat
412,ikh,ikhsan
413,tourst,tourstravel
414,kland,klandasan
415,per,perum.
416,bai,baitul
417,hik,hikmah
418,jaka,jakarta
419,muhi,muhibbin
420,bua,buaran
421,ida,idaman
422,base,basement
423,offi,officer
424,plaza@,plaza
425,pelab,pelabuhan
426,babuss,babussalam
427,para,parangt
428,sup,supeno
429,kosa,kosambi
430,muksal,muksalmina
431,man,mangun
432,madr,madrasah
433,bungur,bungurmekar
434,has,hasyim
435,ragunan),ragunan
436,kepu,keputih
437,kampar-ban,kampar-bangkinang
438,tabu,tabungan
439,bak,bakery
440,her,herbal
441,sch,school
442,kemb,kembang
443,bendu,bendungan
444,west,western
445,gra,grawir
446,soli,solihin
447,haj,hajaru
448,lingkar,ling
449,cipinang,cipi
450,advert,advertising
451,kon,kontak
452,boule,boulevard
453,purwo,purworejo
454,cimone,cim
455,romo,romokal
456,bojone,bojonegoro
457,soed,soedarso
458,rancam,rancamanyar
459,say,sayata
460,kamb,kamboja
461,batubulan,batu
462,well,wellness
463,rend,rendani
464,ciomas,cio
465,comp,computer
466,pado,padosuko
467,cibubur,cibu
468,trik,trikarya
469,pelay,pelayaran
470,sag,sagara
471,commu,community
472,pie,pierre
473,cate,catering
474,interna,international
475,hel,heliza
476,hart,hartono
477,access,accessories
478,rut,ruteng
479,nota,notaris
480,sebe,seberang
481,jemab,jemabatan
482,pontianak),pontianak
483,tla,tlasih
484,al-khu,al-khusein
485,posy,posyandu
486,kintawani,kinta
487,bondo,bondowoso
488,paya,payangan
489,kliw,kliwonan
490,chan,chantiqa
491,flamb,flamboyan
492,exsp,exsport
493,bent,benteng
494,bus,busana
495,kat,kataji
496,mampang,mamp
497,prapatan,prap
498,tung,tunggal
499,prap,prapanca
500,jam,jambul
501,mok,mokmer
502,perintis,peri
503,sindang,sindangbarang
504,nege,negeri-2
505,mli,mliwis
506,suma,sumatera
507,beat,beatrix
508,leuw,leuwina
509,lant,lantabur
510,tebui,tebuireng
511,faku,fakultas
512,jang,jangkrik
513,paseban,pase
514,percet,percetakan
515,laris),laris
516,clin,clinic)
517,ersa,ersanta
518,car,careeu
519,umum,umumzain
520,al-b,al-bento
521,bha,bhakti
522,ponti,pontianak
523,suka,sukarame
524,jill,jillian
525,pent,pentagro
526,lapa,lapangan
527,barber,barbershop
528,assh,asshofa
529,indrap,indraprasta
530,selatan),selatan
531,puspa,puspasari
532,jape,japerin
533,easy,easypay
534,boyo,boyolali-cepogo
535,jeul,jeulita
536,falah,falahiyah
537,perto,pertokoan
538,ked,kediri
539,sec,sector
540,banja,banjarejo
541,bal,balige
542,peg,pegang
543,menteng,ment
544,safh,safhira
545,must,mustafa
546,wallp,wallpaper
547,ratul,ratulangi
548,celu,celuler
549,mendolobumireso,mendolo
550,muni,muniroh
551,kas,kasoem
552,jagakarsa,jagak
553,muha,muhammad
554,muhamma,muhammadiyah
555,sira,sirajul
556,hida,hidayah
557,raja,rajawali
558,bas,basuki
559,adr,adrian
560,kuningdesa,kuning
561,spo,sports
562,gun,gunung
563,anye,anyelir
564,seye,seyegan
565,kli,klinik
566,manun,manunggal
567,kahya,kahyangan
568,sru,sruwet
569,tanj,tanjab-s
570,zaf,zafira
571,alhamdu,alhamdulilah
572,padang,pad
573,keba,kebalen
574,pot,potong
575,ram,rambut
576,sek,sekodi
577,pejan,pejanggik
578,astron,astronacci
579,mans,mansion
580,nat,nation
581,ima,imaroh
582,fam,family
583,bah,bahasa
584,eraw,erawati
585,chal,chalazer
586,regency..,regency
587,shu,shuanx
588,kap,kapten
589,bers,bersalin
590,perjuangan,per
591,jl.,jl.ko.
592,lumb,lumbang
593,bina,binatang
594,tow,tower
595,tex,textil
596,stas,stasiun
597,ker,kerang
598,chic,chicken
599,siswomi,siswomiharjo
600,sukarame,sukma
601,raviria,ravirianmas.
602,matah,matahari.
603,expa,expansia
604,sejah,sejahtera
605,sara,sarana.
606,cent,central
607,cokr,cokroke
608,engl,english
609,cou,courtz
610,zai,zaitun
611,jl.p,jl.pager
612,krendang,kren
613,kepatihan,kepat
614,bano,banowati
615,gad,gading
616,sali,salimas
617,gil,giling
618,kayy,kayyisah
619,serd,serdang
620,gho,ghofur
621,buko,bukopin
622,pin,pinjam
623,bandar,banyuono
624,choco,chocophaw
625,tau,taubah
626,wen,wendit
627,puri,purimas
628,kinta,kintamani
629,sis,sistem
630,convers,conversation
631,syaf,syafana
632,gan,gandul
633,pes,pesona
634,samb,sambelan
635,muhm,muhmmad
636,pem,pemuda
637,samp,samping
638,fura,furaidan
639,kutacane,kuta
640,math,mathlaul
641,pandan,pandan-nga
642,merak.link,merak
643,al-f,al-falah
644,blo,blonde
645,multig,multigriya
646,finan,financial
647,kom,komang
648,gram,gramedia
649,buk,bukaka
650,perhi,perhiasan
651,kena,kenanga
652,ther,thermal
653,sel,selora
654,ama,amalia
655,perd,perdana
656,mift,miftahul
657,fina,finance
658,nik,nikmat
659,win,windia
660,ols,olshop
661,gris,griscell
662,met,meteor
663,yanni,yanni
664,m.ked(ped),m.ked(ped)
665,polite,politeknik
666,yogyak,yogyakarta
667,jer,jerah
668,conven,convention
669,sula,sulawesi
670,perajin,perajin
671,kopa,kopamil
672,dok,dokter
673,wij,wijaya
674,misr,misrhan
675,suna,sunaryo
676,lap.pors,lap.pors
677,ras,rasiah
678,mon,mongin
679,dayung.,dayung
680,bril,brilink
681,penj,penjahit
682,pekan,pekanbaru
683,sug,sugeng
684,hili,hiliuso
685,apo,apotek
686,hus,husein
687,wulu,wuluhan
688,cer,cermee
689,cosm,cosmetic
690,nag,nagoya
691,batuka,batukambing
692,peraw,perawatan
693,gall,gallery
694,pos,postal
695,05.1,05.10.23
696,jln.ngurabelakang,jln.ngura
697,die,diesel
698,nugr,nugraha
699,jend,jendral
700,jemur,jemursari
701,kata,katamso
702,ser,servis
703,cempaka),cempaka
704,setia,setiajaya
705,telekomu,telekomunikasi
706,purwok,purwokerto
707,dar,darmin
708,sae,saerah
709,sun,sungai
710,seder,sederhana
711,sat,satpas
712,taf,tafsir
713,alqu,alquran
714,mangu-bo,mangu-boyolali
715,baktir,baktirustys
716,solu,solution
717,tanjung,tanjungdalam
718,jaya,jaya
719,pekap,pekapuran
720,bam,bamboe
721,amiru,amiruddin
722,trisno,trisnodadi
723,girimekar,giri
724,ash-s,ash-shopa
725,dini,diniyah
726,jati,jatiwar
727,sing,singkung
728,minang,minang
729,bis,bistro
730,cata,catatan
731,residence.,residence
732,pagi,pagimana
733,asr,asrawi
734,denzip,denzipur-3
735,pisa,pisangk
736,nura,nurayya
737,shop,shop
738,cika,cikarang
739,pengu,pengusaha
740,samu,samudro
741,al-hi,al-hikmah
742,yatindra,yatindra
743,pancab,pancabakti
744,indu,industri
745,merahkelurahan,merah
746,tengah.,tengah
747,strawb,strawberry
748,keli,keliat
749,lamp,lampiri
750,oleh-,oleh-oleh
751,tale,talenta
752,suro,suropati
753,garden.,garden
754,baru.(masjid,baru
755,kubutam,kubutambahan
756,sekret,sekretariat
757,tar,taruna
758,wid,widodo
759,joce,jocelyn
760,god,godean
761,sung,sungkono
762,cina,cina
763,ciwari,ciwaringin
764,zam-,zam-zam
765,sent,sentosa
766,dur,durian
767,mutt,muttaqin
768,end,endang
769,gant,gantini
770,angkri,angkringan
771,marki,markimpul
772,bedd,bedding
773,medokan,med
774,kembangan,kemba
775,ken,kendil
776,bulian,bulian-bat
777,arca,arcadian
778,karangs,karangsambung
779,kal,kalang
780,sut,sutami
781,semara,semarangan
782,distri,distributor
783,dza,dzakiy
784,yun,yunita
785,naut,nautilus
786,tham,thamrin
787,nyo,nyonya
788,pulo,pulo
789,supa,suparman
790,muh,muhyin
791,cigugur-s,cigugur-samudra
792,malesth,malesthailook
793,kemba,kembangan
794,mira,miracle
795,soet,soetomo
796,kara,karangg
797,kond,kondang
798,ratu-b,ratu-bangun
799,bintara,bint
800,mayangptpn,mayang
801,wonotu,wonotunggal
802,al-kau,al-kautsar
803,equip,equipment
804,kb-t,kb-tkit
805,sukaraja.,sukaraja
806,prab,prabumu
807,wah,wahana
808,salemb,salembaran
809,kep,kepala
810,alvi,alvinas
811,serpongtangerang,serpong
812,kosw,koswara
813,err,erresa
814,cik,cikeas
815,fitn,fitness
816,negara,neg
817,menanggal,menan
818,serang-ci,serang-cibarusah
819,reta,reta
820,baby,babyshop
